,,,,,,,
ISO 9001:2015 CERTIFIED,,,,,,,
CUSTOMS AND BORDER CONTROL DEPARTMENT,,,,,,,
MODEL,Engine Capacity,Body Type ,Drive configuration,seating,Fuel,GVW,CRSP(KES) 
ALFA ROMEO,,,,,,,
,,,,,,,
147.00,1600,HATCHBACK,2WD,,Petrol,,"2,574,000"
147.00,2000,HATCHBACK,2WD,,Petrol,,"3,150,000"
Alfa Romeo A1560 2.0,1970,HATCHBACK,2WD,,Petrol,,"2,845,569"
156 JD,1600,SALOON,2WD,,Petrol,,"2,359,800"
156 VELOCE,2000,SALOON,2WD,,Petrol,,"3,375,000"
GTV,2000,SALOON,2WD,,Petrol,,"3,876,300"
SPIDER,2000,SALOON,2WD,,Petrol,,"4,432,500"
AUDI,,,,,,,
,,,,,,,
A1 SE MT,1400,HATCHBACK,2WD,,Petrol,,"3,294,000"
A1 SE AT,1400,HATCHBACK,2WD,,Petrol,,"3,581,000"
A3 ,1400,SALOON,2WD,,Petrol,,"4,297,200"
A3 ,1800,SALOON,2WD,,Petrol,,"5,156,640"
A3 ,1800,SALOON,4WD,,Petrol,,"6,187,968"
A3  TDI SPORTSBACK,1600,HATCHBACK,2WD,,Diesel,,"4,495,173"
A3  TFSI SPORTSBACK,1400,HATCHBACK,2WD,,Petrol,,"4,076,000"
A3 CABRIOLET CONVERTIBLE,1500,COUPE,2WD,,Petrol,,"6,182,966"
A3 CABRIOLET  CONVERTIBLE,2000,COUPE,2WD,,Diesel,,"6,541,633"
A4,1400,SALOON,2WD,,Petrol,,"6,240,000"
A4,2000,SALOON,2WD,,Petrol,,"7,723,235"
A4,1800,SALOON,2WD,,Petrol,,"6,950,912"
A4 QUATTRO,2000,SALOON,4WD,,Petrol,,"8,495,559"
A5,1400,COUPE,2WD,,Petrol,,"6,400,000"
A5 QUATTRO,1400,COUPE,4WD,,Petrol,,"7,800,000"
A5 S LINE,2000,COUPE,2WD,,Petrol,,"7,216,000"
A5 S LINE QUATTRO,2000,COUPE,4WD,,Petrol,,"7,500,000"
A5 CABRIOLET S LINE,2000,SPORT,2WD,,Petrol,,"8,179,811"
A5 CABRIOLET S TDI LINE,2000,SPORT,2WD,,Diesel,,"8,598,927"
A6 TDI,2000,ESTATE,2WD,,Diesel,,"7,412,897"
A6 TDI QUATTRO,2967,ESTATE,4WD,,Diesel,,"11,817,000"
A7 SPORT BACK,2000,ESTATE,2WD,,Petrol,,"9,142,000"
A7 SPORT BACK,3000,ESTATE,4WD,,Diesel,,"10,853,000"
A8 SPORT BACK,3000,ESTATE,4WD,,Diesel,,"13,800,000"
A8L LONG WHEEL BASE,3000,ESTATE,4WD,,Diesel,,"14,600,000"
Q2,1600,SALOON,2WD,,Petrol,,"4,513,000"
Q3,2000,SALOON,2WD,,Petrol,,"6,277,500"
Q4,2000,SALOON,2WD,,Petrol,,"6,975,000"
Q5,2000,ESTATE,4WD,,Petrol,,"7,625,000"
Q5  QUATTRO S,2000,ESTATE,4WD,,Diesel,,"8,026,000"
Q5,3200,ESTATE,4WD,,Petrol,,"11,085,000"
SQ5 TFSI QUATTRO TIPTRONIC,3000,ESTATE,4WD,,Petrol,,"9,382,000"
Q7,3000,ESTATE,4WD,,Petrol,,"14,664,499"
Q7 TFSI V6,3000,ESTATE,4WD,,Petrol,,"12,817,614"
Q7 TFSI V6 Supercharged,3000,ESTATE,4WD,,Petrol,,"14,931,086"
Q8 TDI QUATTRO,2967,ESTATE,4WD,,Diesel,,"25,504,080"
Q7 TDI ,4200,ESTATE,4WD,,Diesel,,"17,064,274"
Q7 TDI ,6000,ESTATE,4WD,,Diesel,,"27,457,618"
Q7 TDI QUATTRO,2967,ESTATE,4WD,,Diesel,,"22,137,500"
Q8 TDI QUATTRO,2967,ESTATE,4WD,,Diesel,,"25,504,080"
RS ,2500,COUPE,4WD,,Petrol,,"8,043,505"
TT,2000,COUPE,2WD,,Petrol,,"7,874,450"
TT RS,2500,COUPE,4WD,,Petrol,,"9,480,000"
BEDFORD,,,,,,,
,,,,,,,
Bedford MJT2,5400,TRK,,,Diesel,,"3,887,088"
Bedford MJT2,4520,TRK,,,Diesel,,"3,253,637"
BEI BEN,,,,,,,
,,,,,,,
2636S 6X4,9726,PM,6X4,,Diesel,,"7,951,109"
Beiben Truck,8000,TRUCK,6X2,,Diesel,,"7,534,158"
BENTLEY,,,,,,,
,,,,,,,
Continental GT V8,4000,Coupe,AWD,,Petrol,,"37,235,870"
Continental GT V8 S,4000,Coupe,AWD,,Petrol,,"37,485,000"
Continental GT W12,6000,Coupe,AWD,,Petrol,,"44,683,044"
Flying Spur V8,4000,Coupe,AWD,,Petrol,,"33,660,000"
Flying Spur V8 S,4000,Coupe,AWD,,Petrol,,"35,700,000"
Flying Spur W12,6000,COUPE,AWD,,Petrol,,"44,683,044"
Bentayga Oyx,6000,S/WAGON,AWD,,Petrol,,"29,580,000"
Bentayga W12,6000,S/WAGON,AWD,,Petrol,,"44,683,044"
Bentayga V8,4000,SALOON,AWD,,Petrol,,"34,044,224"
Bentayga Mulinner,6000,S/WAGON,AWD,,Petrol,,"51,000,000"
BMW,,,,,,,
,,,,,,,
ACTVEHYBRID 5,3000,SALOON,2WD,,Petrol,,"11,234,100"
BMW Mini cooper,1596,HATCHBACK,2WD,,Petrol,,"2,950,000"
BMW Mini ZA3,1596,HATCHBACK,2WD,,Petrol,,"4,309,760"
Copper All4 F60 SAV B38 Y52,1998,HATCHBACK,2WD,,Petrol,,"5,740,205"
Copper S ALL4 F60 SAV,1998,HATCHBACK,2WD,,Petrol,,"6,577,318"
Countryman ,1600,HATCHBACK,2WD,,Petrol,,"4,358,400"
JCW All4 F60 SAV YZ92B48,1998,HATCHBACK,2WD,,Petrol,,"8,729,895"
M3 S65 DX91 DX92,4799,S/WAGON,4WD,,Petrol,,"13,425,776"
M3 S65 PM91 PM92,4799,S/WAGON,4WD,,Petrol,,"11,491,787"
M3 E90,3000,SALOON,2WD,,Petrol,,"9,110,884"
M5 F10,4400,SALOON,2WD,,Petrol,,"14,718,609"
M5 E60,5500,SALOON,2WD,,Petrol,,"13,476,334"
M5 S63 F90 LIM JF02,2993,SALOON,2WD,,Petrol,,"21,705,149"
M6 S85 EH91 EH92,4799,S/WAGON,4WD,,Petrol,,"20,834,714"
M6 S85 EK91 EK92,4799,S/WAGON,4WD,,Petrol,,"22,228,920"
M235i  N55 f22,2979,COUPE,2WD,,Petrol,,"8,556,720"
M760Li G12 LIM xDrive N74 7U62,6592,S/WAGON,4WD,,Petrol,,"27,265,973"
X1 sDrive 18d LCI B47 F48 SAV 52AC,1499,S/WAGON,2WD,,Diesel,,"5,979,380"
X1 sDrive 18i LCI  B38 32AA,1499,S/WAGON,2WD,,Petrol,,"6,158,761"
X1 sDrive20i  LCI B48 72AA,1998,S/WAGON,2WD,,Petrol,,"6,816,493"
X1 xDrive20i LCI  B48 12AB,1998,S/WAGON,4WD,,Petrol,,"7,175,256"
X1 xDrive20d LCI B47 52AD,1995,S/WAGON,2WD,,Diesel,,"6,397,937"
X1 xDrive20d LCI B47 12AE,1995,S/WAGON,4WD,,Diesel,,"6,696,906"
X1 E84 SAV SDRIVE 18i N46 VL31/32 Manual/Auto,2000,S/WAGON,2WD,,Petrol,,"4,029,204"
X1 E84 SAV SDRIVE 20i N20 VL91/92 Manual,2000,S/WAGON,2WD,,Petrol,,"4,721,172"
X1 E84 SAV XDRIVE 20i N20 VM91/92 Manual,2000,S/WAGON,2WD,,Petrol,,"5,059,506"
X1 E84 SAV XDRIVE 28i N20 VM11/12 Auto,3000,S/WAGON,2WD,,Petrol,,"5,997,192"
X1 E84 SAV SDRIVE 18d N47 VN11/12 Manual,2000,S/WAGON,2WD,,Diesel,,"4,344,486"
X1 E84 SAV XDRIVE 18d N47 VP11/12 Manual,2000,S/WAGON,2WD,,Diesel,,"4,677,414"
X1 E84 SAV SDRIVE 20d N47 VN31/32 Manual,2000,S/WAGON,2WD,,Diesel,,"4,611,318"
X1 E84 SAV XDRIVE 20d N47 VP31/32 Manual,2000,S/WAGON,4WD,,Diesel,,"5,013,708"
X1 E84 SAV XDRIVE 23d N47 VP51/52 Auto,2000,S/WAGON,4WD,,Diesel,,"5,462,712"
X2 sDrive18i F39 SAC B38 YH12,1499,S/WAGON,2WD,,Petrol,,"6,338,143"
X2 sDrive 20i F39 SAC B48 YH32,1998,S/WAGON,2WD,,Petrol,,"6,936,081"
X2 xDrive 20i F39 SAC B48 YH52,1998,S/WAGON,4WD,,Petrol,,"7,414,431"
X2 sDrive18d F39 SAC B47 YL52,1995,S/WAGON,2WD,,Diesel,,"6,481,648"
X2 xDrive20d F39 SAC  B47 YN32,1995,S/WAGON,4WD,,Diesel,,"7,217,112"
X3 sDrive20i G01 SAV B48 ,1998,S/WAGON,2WD,,Petrol,,"7,534,019"
X3 xDrive20i GO1 SAV B48,1998,S/WAGON,4WD,,Petrol,,"7,892,782"
X3 xDrive20d GO1 SAV  B58,1995,S/WAGON,4WD,,Diesel,,"8,131,957"
X3 xDrive30i  GO1 B48,1998,S/WAGON,4WD,,Petrol,,"9,028,864"
X3 M40i B58 GO1 SAV,2998,S/WAGON,4WD,,Petrol,,"11,599,997"
X3 F25 SAV XDRIVE20i N20 WX31/32 MANUAL,2000,S/WAGON,4WD,,Petrol,,"6,894,384"
X3 F25 SAV XDRIVE20i N20 WX31/32 AUTO,2000,S/WAGON,4WD,,Petrol,,"7,514,879"
X3 F25 SAV XDRIVE20d N47 WY31/32 MANUAL,2000,S/WAGON,4WD,,Diesel,,"5,869,794"
X3 F25 SAV XDRIVE20d N47 WY31/32 AUTO,2000,S/WAGON,4WD,,Diesel,,"6,398,076"
X3 F25 SAV GH-PA25,2500,S/WAGON,4WD,,Petrol,,"6,391,645"
X3 F25 SAV XDRIVE28i N52 WX51/52 AUTO,3000,S/WAGON,4WD,,Petrol,,"6,894,384"
X3 F25 SAV GH-PA30,3000,S/WAGON,4WD,,Petrol,,"7,026,984"
X3 F25 SAV XDRIVE30d N57 WY51/52 AUTO,3000,S/WAGON,4WD,,Diesel,,"7,973,729"
X3 F25 SAV XDRIVE35i N55 WX71/72 AUTO,3000,S/WAGON,4WD,,Petrol,,"7,663,974"
X3 F25 SAV XDRIVE35d N57 WY71/72 AUTO,3000,S/WAGON,4WD,,Diesel,,"8,580,079"
X4 xDrive20i G02 SAC  B48 ,1998,S/WAGON,4WD,,Petrol,,"8,670,101"
X4 xDrive20d GO2 SAC   B47,1995,S/WAGON,4WD,,Diesel,,"8,849,482"
X4 xDrive GO2 SAC 30i  B48,1998,S/WAGON,4WD,,Petrol,,"9,626,802"
X4 M40i GO2 SAC B58,2998,S/WAGON,4WD,,Petrol,,"13,214,430"
X4 M40i B47,2998,S/WAGON,4WD,,Petrol,,"13,214,430"
X5 xDrive40i  B58 G05 SAV,2998,S/WAGON,4WD,,Petrol,,"11,540,203"
X5 xDrive30d   B57 G05 SAV,2993,S/WAGON,4WD,,Diesel,,"11,779,379"
X5 M50i JU42,2993,S/WAGON,4WD,,Petrol,,"18,416,490"
X5 E70 SAV XDRIVE 30D N57 ZW41/42 Auto,3000,S/WAGON,4WD,,Diesel,,"12,172,979"
X5 E70 SAV XDRIVE 35i N55 ZV41/42 Auto,3000,S/WAGON,4WD,,Petrol,,"11,235,905"
X5 E70 SAV XDRIVE 5i N63 ZV81/82 Auto,4400,S/WAGON,4WD,,Petrol,,"12,675,572"
X5 E70 SAV M S63 GY01/02 Auto,4400,S/WAGON,4WD,,Petrol,,"18,331,200"
X5 E70 SAV XDRIVE 48i Auto,4799,S/WAGON,4WD,,Petrol,,"19,993,605"
X5 F15 30d,3000,S/WAGON,4WD,,Diesel,,"14,596,461"
X5 F15 25d,2000,S/WAGON,4WD,,Diesel,,"8,981,885"
X6 xDrive30D    N57 F16 SAC,2998,S/WAGON,4WD,,Petrol,,"12,736,079"
X6 xDrive35i    N55 F16 SAC,2998,S/WAGON,4WD,,Petrol,,"12,437,110"
X6 xDrive50i   N63 F16 SAC,4395,S/WAGON,4WD,,Petrol,,"16,981,439"
X6 XDRIVE 30d G06 SAC B57 ,2993,S/WAGON,4WD,,Diesel,,"13,513,399"
X6 xDrive40i  GO6 SAC  B58,2998,S/WAGON,4WD,,Petrol,,"13,752,574"
X6 M50i  G06 SAC N63,4393,S/WAGON,4WD,,Diesel,,"19,014,428"
X6 M50d  G06 SAC B57,2993,S/WAGON,4WD,,Diesel,,"19,731,954"
X6 E71 SAV XDRIVE 30d N57 ,3000,S/WAGON,4WD,,Diesel,,"12,087,750"
X6 E71 SAV XDRIVE 30d N57 ,3000,S/WAGON,4WD,,Diesel,,"12,087,750"
X6 E71 SAV M S63 GZ01/02,4400,S/WAGON,4WD,,Petrol,,"18,691,452"
X7 xDrive40i  G07 SAV B58,2998,S/WAGON,4WD,,Petrol,,"14,111,337"
X7 xDrive30d G07 SAV B57,2993,S/WAGON,4WD,,Diesel,,"15,367,007"
X7 M50i  G07 SAV  N63,4395,S/WAGON,4WD,,Petrol,,"20,927,830"
X7 M50d G07 SAV   B57,2993,S/WAGON,4WD,,Diesel,,"21,705,149"
Z3 Roadster,1895,Coupe,2WD,2,Petrol,,"4,200,000"
Z4 E89 ROA Sdrive 18i N20 LL31/32 COVERTIBLE,2300,Coupe,2WD,2DR,Petrol,,"5,631,930"
Z4 E89 ROA Sdrive 28i N20 LL51/52 CONVERTIBLE,2500,Coupe,2WD,2DR,Petrol,,"6,519,432"
Z4 E89 ROA Sdrive 35i N54 LM71/72 CONVERTIBLE,3000,Coupe,2WD,2DR,Petrol,,"7,031,778"
Z4 E89 ROA Sdrive 35is N54 LM11/12 CONVERTIBLE,3000,Coupe,2WD,2DR,Petrol,,"8,494,254"
116i E81 HAT NA45,1596,HATCHBACK,2WD,3DR,Petrol,,"3,434,380"
116i F20SH N13,1596,HATCHBACK,2WD,,Petrol,,"3,434,380"
116D E81 HAT N47,1597,HATCHBACK,2WD,3DR,Diesel,,"3,935,277"
116D F20SH N47-SPECIAL 1C71 1C72,1597,HATCHBACK,2WD,,Diesel,,"4,100,544"
118i N46 UE71 UE72,1995,SALOON,2WD,,Petrol,,"3,895,948"
118i E81 HAT N46 UA31 UA32,1600,HATCHBACK,2WD,3DR,Petrol,,"3,709,216"
118i N13 F20SH 1A31 1A32 SPECIAL,1600,HATCHBACK,2WD,,Petrol,,"4,309,760"
118i E88 CAB N46 UM31 UM32 CONVERTIBLE,1600,coupe,2WD,,Petrol,,"4,721,246"
118D E88 CAB N47 UM91 UM92 CONVERTIBLE,1995, coupe,2WD,,Diesel,,"5,186,676"
118D E82 COU N47 UR11 UR12,1995,Coupe,2WD,,Diesel,,"4,227,346"
118D N47 UD71 UD72,1995,SALOON,2WD,,Diesel,,"4,170,645"
118D E81 HAT N47 UB31 UB32,1995,SALOON,2WD,3DR,Diesel,,"3,982,608"
120i E81 HAT N46 UL51 UL52,1995,HATCHBACK,2WD,3DR,Petrol,,"5,302,611"
120i E82 COU N46 UC51 UC52,1995,Coupe,2WD,,Petrol,,"4,323,496"
120i N46 UD31 UD32,1995,SALOON,2WD,,Petrol,,"4,292,009"
120i N46 UA51 UA52,1995,SALOON,2WD,,Petrol,,"4,103,344"
120D N47 UM71 UM72,1995,SALOON,2WD,,Diesel,,"5,486,707"
120D N47 UMR1 UM32,1995,SALOON,2WD,,Diesel,,"4,673,835"
