,,,,,,,Discontinuation_Year
MAKE,Model,Engine Capacity,Body Type ,Drive configuration,seating,Fuel,Discontinuation_Year
ALFA ROMEO,147.00,1600,HATCHBACK,2WD,,Petrol,2010
ALFA ROMEO,147.00,2000,HATCHBACK,2WD,,Petrol,2010
ALFA ROMEO,Alfa Romeo A1560 2.0,1970,HATCHBACK,2WD,,Petrol,2010
ALFA ROMEO,156 JD,1600,SALOON,2WD,,Petrol,2007
ALFA ROMEO,156 VELOCE,2000,SALOON,2WD,,Petrol,2007
ALFA ROMEO,GTV,2000,SALOON,2WD,,Petrol,2004
ALFA ROMEO,SPIDER,2000,SALOON,2WD,,Petrol,2004
AUDI,A1 SE MT,1400,HATCHBACK,2WD,,Petrol,2018
AUDI,A1 SE AT,1400,HATCHBACK,2WD,,Petrol,2018
AUDI,A3,1400,SALOON,2WD,,Petrol,2020
AUDI,A3,1800,SALOON,2WD,,Petrol,2020
AUDI,A3,1800,SALOON,4WD,,Petrol,2020
AUDI,A3  TDI SPORTSBACK,1600,HATCHBACK,2WD,,Diesel,2020
AUDI,A3  TFSI SPORTSBACK,1400,HATCHBACK,2WD,,Petrol,2020
AUDI,A3 CABRIOLET CONVERTIBLE,1500,COUPE,2WD,,Petrol,2020
AUDI,A3 CABRIOLET  CONVERTIBLE,2000,COUPE,2WD,,Diesel,2020
AUDI,A4,1400,SALOON,2WD,,Petrol,2019
AUDI,A4,2000,SALOON,2WD,,Petrol,2019
AUDI,A4 QUATTRO,2000,SALOON,4WD,,Petrol,2019
AUDI,A5,1400,COUPE,2WD,,Petrol,Unknown
AUDI,A5 QUATTRO,1400,COUPE,4WD,,Petrol,Unknown
AUDI,A5 S LINE,2000,COUPE,2WD,,Petrol,Unknown
AUDI,A5 S LINE QUATTRO,2000,COUPE,4WD,,Petrol,Unknown
AUDI,A5 CABRIOLET S LINE,2000,SPORT,2WD,,Petrol,Unknown
AUDI,A5 CABRIOLET S TDI LINE,2000,SPORT,2WD,,Diesel,Unknown
AUDI,A6 TDI,2000,ESTATE,2WD,,Diesel,2018
AUDI,A6 TDI QUATTRO,2967,ESTATE,4WD,,Diesel,2018
AUDI,A7 SPORT BACK,2000,ESTATE,2WD,,Petrol,Unknown
AUDI,A7 SPORT BACK,3000,ESTATE,4WD,,Diesel,Unknown
AUDI,A8 SPORT BACK,3000,ESTATE,4WD,,Diesel,2017
AUDI,A8L LONG WHEEL BASE,3000,ESTATE,4WD,,Diesel,2017
AUDI,Q2,1600,SALOON,2WD,,Petrol,Unknown
AUDI,Q5,2000,ESTATE,4WD,,Petrol,2017
AUDI,Q5  QUATTRO S,2000,ESTATE,4WD,,Diesel,2017
AUDI,Q5,3200,ESTATE,4WD,,Petrol,2017
AUDI,SQ5 TFSI QUATTRO TIPTRONIC,3000,ESTATE,4WD,,Petrol,2017
AUDI,Q7,3000,ESTATE,4WD,,Petrol,2015
AUDI,Q7 TFSI V6,3000,ESTATE,4WD,,Petrol,2015
AUDI,Q7 TFSI V6 Supercharged,3000,ESTATE,4WD,,Petrol,2015
AUDI,Q7 TDI,4200,ESTATE,4WD,,Diesel,2015
AUDI,Q7 TDI,6000,ESTATE,4WD,,Diesel,2015
AUDI,Q8 TDI QUATTRO,2967,ESTATE,4WD,,Diesel,Unknown
AUDI,RS ,2500,COUPE,4WD,,Petrol,Unknown
AUDI,TT,2000,COUPE,2WD,,Petrol,2023
AUDI,TT RS,2500,COUPE,4WD,,Petrol,2023
BEDOFORD,Bedford MJT2,5400,TRK,,,Diesel,1986
BEDOFORD,Bedford MJT2,4520,TRK,,,Diesel,1986
BEI BEN,2636S 6X4,9726,PM,6X4,,Diesel,Unknown
BEI BEN,Beiben Truck,8000,TRUCK,6X2,,Diesel,Unknown
BENTLEY,Continental GT V8,4000,Coupe,AWD,,Petrol,Unknown
BENTLEY,Continental GT V8 S,4000,Coupe,AWD,,Petrol,Unknown
BENTLEY,Flying Spur V8,4000,Coupe,AWD,,Petrol,Unknown
