CMC MOTORS GROUP LTD.,,,,,,
HIGH SPEED TRAILERS,"TARE WEIGHT, AXEL& LITRES ",CRSP (KSH),,,,
,,,,,,
Skeleton Trailer,,"1,950,000",CMC,,,
Skeletal Trailer ,3 Axel,"1,650,000",KEHAR,,,
Skeletal Semi Trailer,3 Axel/ 6.4 Ton,"2,550,000",RANDON,,,
Skeletal Trailer,3 Axel,"1,850,000",HANS KENYA,,,
,,,,,,
Flatbed Trailer,,"2,200,000",CMC,,,
Flat bed Trailer,3 Axel,"1,900,000",KEHAR,,,
Flat-bed semi Trailer,3 Axel/ 7Ton,"2,700,000",RANDON,,,
Flat bed Trailer,3 Axel,"2,000,000",HANS KENYA,,,
,,,,,,
Low sided Dropsided,,"2,300,000",CMC,,,
General Cargo,,"2,500,000",CMC,,,
Tipper,3 Axel,"2,800,000",CMC,,,
Tipping Trailer,3 Axel,"2,800,000",HANS KENYA,,,
Tipping Trailer,3 Axel,"3,000,000",KEHAR,,,
,,,,,,
Trailer with high side body Trailer,3 Axel,"2,300,000",HANS KENYA,,,
Semi Trailer with high sided/ Drop sided body,3 Axel/ 9.2 Ton,"2,800,000",RANDON,,,
Semi Trailer with Fully Enclosed body,3 Axel/ 9.8 Ton,"3,100,000",RANDON,,,
Semi Trailer - Tipper,3 Axel/8.8 Ton,"3,750,000",RANDON,,,
,,,,,,
Multi Purpose Flat Tipper Semi -Trailer,8.8 Tons,"3,800,000",RANDON,,,
Monobloc Tank semi-Trailer,3 Axel,"3,750,000",RANDON,,,
Draw bar Trailer with Fully Enclosed body,3 Axel,"3,740,000",RANDON,,,
Draw bar Trailer without Fully enclosed body,3 Axel,"3,280,000",RANDON,,,
Draw bar Trailer with High drop sided body,3 Axel,"3,405,000",RANDON,,,
Draw bar Trailer without High drop sided body,3 Axel,"2,980,000",RANDON,,,
,,,,,,
Cover body Trailer,3 Axel,"2,400,000",HANS KENYA,,,
,,,,,,
High drop side Trailer,3 Axel,"2,300,000",KEHAR,,,
Enclosed Trailer,3 Axel,"2,450,000",KEHAR,,,
Low Loader,3 Axel,"2,900,000",KEHAR,,,
Low Loader,4axle,"27,983,676",Wuhan Shenjun,,,
